Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.3125,0.13333333333333333,0.22666666666666666,0.1607843137254902,0.7856560106560107
2,0.375,0.3466666666666667,0.35333333333333333,0.319047619047619,0.7736213786213786
3,0.4375,0.45,0.48,0.3942857142857143,0.8318065268065269
4,0.4375,0.45,0.48,0.3942857142857143,0.8613320013320014
5,0.5,0.5933333333333334,0.53,0.4465934065934066,0.8901706626706627
6,0.5,0.5933333333333334,0.53,0.4465934065934066,0.9082301032301032
7,0.5,0.5933333333333334,0.53,0.4465934065934066,0.9153729603729603
8,0.5625,0.6599999999999999,0.58,0.5399267399267399,0.9153729603729603
9,0.5625,0.6599999999999999,0.58,0.5399267399267399,0.9153729603729603
10,0.5625,0.6599999999999999,0.58,0.5399267399267399,0.9153729603729603
