Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.3125,0.36666666666666664,0.32999999999999996,0.23714285714285716,0.619549617049617
2,0.375,0.24666666666666667,0.4133333333333333,0.3022222222222222,0.7038752913752914
3,0.375,0.25,0.38666666666666666,0.3028571428571428,0.77255661005661
4,0.625,0.6666666666666667,0.63,0.5857142857142856,0.8361555111555111
5,0.625,0.6071428571428571,0.6033333333333333,0.5847619047619047,0.9165667665667666
6,0.75,0.65,0.72,0.6666666666666666,0.9603896103896105
7,0.875,0.9099999999999999,0.86,0.8647619047619047,0.9820779220779221
8,0.875,0.9099999999999999,0.86,0.8647619047619047,0.9748051948051948
9,0.875,0.9099999999999999,0.86,0.8647619047619047,0.9784415584415586
10,0.9375,0.9666666666666668,0.9,0.9151515151515153,0.9784415584415586
