Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.25,0.10714285714285714,0.2333333333333333,0.14545454545454545,0.6040009990009989
2,0.375,0.3555555555555555,0.31,0.2742857142857143,0.7070812520812522
3,0.5625,0.4242424242424242,0.5,0.41833333333333333,0.748942723942724
4,0.625,0.5444444444444445,0.6,0.5361904761904761,0.789491341991342
5,0.625,0.6,0.6,0.5666666666666667,0.7886172161172161
6,0.5625,0.5888888888888889,0.5599999999999999,0.5476190476190477,0.8019871794871796
7,0.5625,0.5888888888888889,0.5599999999999999,0.5476190476190477,0.8056235431235432
8,0.5625,0.5888888888888889,0.5599999999999999,0.5476190476190477,0.8092599067599068
9,0.5625,0.5888888888888889,0.5599999999999999,0.5476190476190477,0.8092599067599068
10,0.5625,0.5888888888888889,0.5599999999999999,0.5476190476190477,0.8092599067599068
