Epoch,Symptom,Precision,Recall,F1,AUROC
1,pain,0.0,0.0,0.0,0.8333333333333333
1,fever,0.3333333333333333,0.25,0.2857142857142857,0.625
1,seizure,0.0,0.0,0.0,1.0
1,depression,0.0,0.0,0.0,0.8787878787878787
1,chest pain,0.42857142857142855,1.0,0.6,0.9090909090909091
2,pain,1.0,0.5,0.6666666666666666,0.8333333333333333
2,fever,1.0,0.75,0.8571428571428571,0.8250000000000001
2,seizure,1.0,1.0,1.0,1.0
2,depression,1.0,0.6666666666666666,0.8,1.0
2,chest pain,0.5,1.0,0.6666666666666666,0.9696969696969696
3,pain,1.0,0.5,0.6666666666666666,0.8333333333333333
3,fever,1.0,1.0,1.0,1.0
3,seizure,1.0,1.0,1.0,1.0
3,depression,1.0,0.6666666666666666,0.8,1.0
3,chest pain,0.6,1.0,0.75,0.9393939393939393
4,pain,1.0,0.5,0.6666666666666666,0.875
4,fever,1.0,1.0,1.0,1.0
4,seizure,1.0,1.0,1.0,1.0
4,depression,1.0,1.0,1.0,1.0
4,chest pain,0.75,1.0,0.8571428571428571,0.9696969696969697
5,pain,1.0,0.5,0.6666666666666666,0.9166666666666667
5,fever,1.0,1.0,1.0,1.0
5,seizure,1.0,1.0,1.0,1.0
5,depression,1.0,1.0,1.0,1.0
5,chest pain,0.75,1.0,0.8571428571428571,1.0
6,pain,1.0,0.5,0.6666666666666666,1.0
6,fever,1.0,1.0,1.0,1.0
6,seizure,1.0,1.0,1.0,1.0
6,depression,1.0,1.0,1.0,1.0
6,chest pain,0.75,1.0,0.8571428571428571,1.0
7,pain,1.0,0.5,0.6666666666666666,1.0
7,fever,1.0,1.0,1.0,1.0
7,seizure,1.0,1.0,1.0,1.0
7,depression,1.0,1.0,1.0,1.0
7,chest pain,0.75,1.0,0.8571428571428571,1.0
8,pain,1.0,0.5,0.6666666666666666,1.0
8,fever,1.0,1.0,1.0,1.0
8,seizure,1.0,1.0,1.0,1.0
8,depression,1.0,1.0,1.0,1.0
8,chest pain,0.75,1.0,0.8571428571428571,1.0
9,pain,1.0,0.5,0.6666666666666666,1.0
9,fever,1.0,1.0,1.0,1.0
9,seizure,1.0,1.0,1.0,1.0
9,depression,1.0,1.0,1.0,1.0
9,chest pain,0.75,1.0,0.8571428571428571,1.0
10,pain,1.0,0.5,0.6666666666666666,1.0
10,fever,1.0,1.0,1.0,1.0
10,seizure,1.0,1.0,1.0,1.0
10,depression,1.0,1.0,1.0,1.0
10,chest pain,0.75,1.0,0.8571428571428571,1.0
