Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.6153846153846154,0.6571428571428571,0.65,0.5688888888888888,0.9196969696969697
2,0.7692307692307693,0.65,0.75,0.6761904761904762,0.9212121212121213
3,0.8461538461538461,0.8833333333333334,0.85,0.8361904761904763,0.9742424242424242
4,0.8461538461538461,0.8833333333333334,0.85,0.8361904761904763,0.9666666666666668
5,0.9230769230769231,0.9333333333333333,0.9,0.8933333333333333,1.0
6,0.8461538461538461,0.8833333333333334,0.85,0.8361904761904763,1.0
7,0.9230769230769231,0.9333333333333333,0.9,0.8933333333333333,1.0
8,0.9230769230769231,0.9333333333333333,0.9,0.8933333333333333,1.0
9,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0
