Epoch,Symptom,Precision,Recall,F1,AUROC
1,pain,0.8,0.6666666666666666,0.7272727272727273,0.9712643678160919
1,fever,0.625,0.5555555555555556,0.5882352941176471,0.9401709401709402
1,cough,0.0,0.0,0.0,0.9234693877551021
1,seizure,0.3333333333333333,0.8571428571428571,0.48,0.8163265306122449
1,confusion,1.0,0.6666666666666666,0.8,0.8793103448275862
2,pain,1.0,0.8333333333333334,0.9090909090909091,0.9655172413793104
2,fever,1.0,0.4444444444444444,0.6153846153846154,0.9145299145299145
2,cough,0.5384615384615384,1.0,0.7,0.9846938775510204
2,seizure,1.0,0.5714285714285714,0.7272727272727273,0.9744897959183674
2,confusion,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.867816091954023
3,pain,1.0,1.0,1.0,1.0
3,fever,1.0,1.0,1.0,1.0
3,cough,0.875,1.0,0.9333333333333333,1.0
3,seizure,1.0,1.0,1.0,1.0
3,confusion,1.0,0.8333333333333334,0.9090909090909091,0.9597701149425287
4,pain,1.0,1.0,1.0,1.0
4,fever,1.0,1.0,1.0,1.0
4,cough,0.875,1.0,0.9333333333333333,1.0
4,seizure,1.0,1.0,1.0,1.0
4,confusion,1.0,0.8333333333333334,0.9090909090909091,0.9827586206896551
5,pain,1.0,0.8333333333333334,0.9090909090909091,1.0
5,fever,1.0,1.0,1.0,1.0
5,cough,0.7777777777777778,1.0,0.875,1.0
5,seizure,1.0,1.0,1.0,1.0
5,confusion,1.0,0.8333333333333334,0.9090909090909091,0.9942528735632185
6,pain,1.0,1.0,1.0,1.0
6,fever,1.0,1.0,1.0,1.0
6,cough,1.0,1.0,1.0,1.0
6,seizure,1.0,1.0,1.0,1.0
6,confusion,1.0,1.0,1.0,1.0
7,pain,1.0,1.0,1.0,1.0
7,fever,1.0,1.0,1.0,1.0
7,cough,1.0,1.0,1.0,1.0
7,seizure,1.0,1.0,1.0,1.0
7,confusion,1.0,1.0,1.0,1.0
8,pain,1.0,1.0,1.0,1.0
8,fever,1.0,1.0,1.0,0.9999999999999999
8,cough,1.0,1.0,1.0,1.0
8,seizure,1.0,1.0,1.0,1.0
8,confusion,1.0,1.0,1.0,1.0
9,pain,1.0,1.0,1.0,1.0
9,fever,1.0,1.0,1.0,1.0
9,cough,1.0,1.0,1.0,0.9999999999999999
9,seizure,1.0,1.0,1.0,1.0
9,confusion,1.0,1.0,1.0,1.0
10,pain,1.0,1.0,1.0,1.0
10,fever,1.0,1.0,1.0,1.0
10,cough,1.0,1.0,1.0,0.9999999999999999
10,seizure,1.0,1.0,1.0,1.0
10,confusion,1.0,1.0,1.0,1.0
