Epoch,Symptom,Precision,Recall,F1,AUROC
1,pain,0.6666666666666666,1.0,0.8,1.0
1,fever,0.0,0.0,0.0,0.7777777777777778
1,depression,0.3333333333333333,1.0,0.5,1.0
1,seizure,0.75,1.0,0.8571428571428571,0.9
1,confusion,0.0,0.0,0.0,1.0
2,pain,0.6666666666666666,1.0,0.8,1.0
2,fever,0.0,0.0,0.0,1.0
2,depression,0.5,1.0,0.6666666666666666,1.0
2,seizure,0.5,1.0,0.6666666666666666,1.0
2,confusion,0.0,0.0,0.0,1.0
3,pain,0.6666666666666666,1.0,0.8,1.0
3,fever,0.0,0.0,0.0,1.0
3,depression,0.5,1.0,0.6666666666666666,1.0
3,seizure,0.75,1.0,0.8571428571428571,1.0
3,confusion,1.0,1.0,1.0,1.0
4,pain,0.6666666666666666,1.0,0.8,1.0
4,fever,1.0,0.5,0.6666666666666666,1.0
4,depression,1.0,1.0,1.0,1.0
4,seizure,0.75,1.0,0.8571428571428571,1.0
4,confusion,1.0,1.0,1.0,1.0
5,pain,0.6666666666666666,1.0,0.8,1.0
5,fever,1.0,0.5,0.6666666666666666,1.0
5,depression,1.0,1.0,1.0,1.0
5,seizure,0.75,1.0,0.8571428571428571,1.0
5,confusion,1.0,1.0,1.0,1.0
6,pain,0.6666666666666666,1.0,0.8,1.0
6,fever,1.0,0.5,0.6666666666666666,1.0
6,depression,1.0,1.0,1.0,1.0
6,seizure,0.75,1.0,0.8571428571428571,1.0
6,confusion,1.0,1.0,1.0,1.0
7,pain,1.0,1.0,1.0,1.0
7,fever,1.0,0.75,0.8571428571428571,1.0
7,depression,1.0,1.0,1.0,1.0
7,seizure,0.75,1.0,0.8571428571428571,1.0
7,confusion,1.0,1.0,1.0,1.0
8,pain,1.0,1.0,1.0,1.0
8,fever,1.0,0.75,0.8571428571428571,1.0
8,depression,1.0,1.0,1.0,1.0
8,seizure,0.75,1.0,0.8571428571428571,1.0
8,confusion,1.0,1.0,1.0,1.0
9,pain,1.0,1.0,1.0,1.0
9,fever,1.0,0.75,0.8571428571428571,1.0
9,depression,1.0,1.0,1.0,1.0
9,seizure,0.75,1.0,0.8571428571428571,1.0
9,confusion,1.0,1.0,1.0,1.0
10,pain,1.0,1.0,1.0,1.0
10,fever,1.0,0.75,0.8571428571428571,1.0
10,depression,1.0,1.0,1.0,1.0
10,seizure,0.75,1.0,0.8571428571428571,1.0
10,confusion,1.0,1.0,1.0,1.0
