Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.25,0.19999999999999998,0.24666666666666667,0.19444444444444445,0.6007192807192807
2,0.375,0.26666666666666666,0.38,0.27999999999999997,0.749547952047952
3,0.4375,0.36,0.48,0.33992673992673994,0.7656768231768233
4,0.5,0.5666666666666667,0.53,0.4276190476190476,0.8123959373959373
5,0.5625,0.575,0.58,0.49004329004329,0.8474542124542126
6,0.5625,0.6083333333333333,0.58,0.5424242424242424,0.8707642357642357
7,0.5625,0.6083333333333333,0.58,0.5424242424242424,0.8671278721278721
8,0.5625,0.6083333333333333,0.58,0.5424242424242424,0.8753696303696303
9,0.625,0.6083333333333333,0.63,0.5805194805194805,0.8753696303696303
10,0.625,0.6083333333333333,0.63,0.5805194805194805,0.8753696303696303
