Epoch,Accuracy,Precision,Recall,F1,AUROC
1,0.5625,0.3466666666666666,0.51,0.39333333333333337,0.7271669996669996
2,0.5625,0.4866666666666667,0.5366666666666667,0.46333333333333326,0.8756868131868133
3,0.625,0.7904761904761904,0.6633333333333333,0.6847619047619047,0.9283308358308359
4,0.6875,0.8166666666666668,0.7033333333333334,0.7269841269841268,0.9321961371961371
5,0.75,0.85,0.77,0.7714285714285714,0.9624350649350649
6,0.8125,0.8099999999999999,0.8099999999999999,0.8028571428571428,0.9820779220779221
7,0.875,0.8666666666666668,0.85,0.8532467532467531,0.9784415584415586
8,0.875,0.8666666666666668,0.85,0.8532467532467531,0.9605194805194806
9,0.875,0.8666666666666668,0.85,0.8532467532467531,0.9784415584415586
10,0.875,0.8666666666666668,0.85,0.8532467532467531,0.9784415584415586
