Epoch,Symptom,Precision,Recall,F1,AUROC
1,pain,0.0,0.0,0.0,0.49090909090909096
1,fever,1.0,0.5,0.6666666666666666,0.8571428571428572
1,cough,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9487179487179487
1,confusion,0.3,0.75,0.42857142857142855,0.7708333333333334
1,seizure,0.0,0.0,0.0,1.0
2,pain,1.0,0.2,0.3333333333333333,0.7636363636363637
2,fever,1.0,0.5,0.6666666666666666,1.0
2,cough,0.6,1.0,0.75,0.9487179487179487
2,confusion,0.42857142857142855,0.75,0.5454545454545454,0.8541666666666666
2,seizure,1.0,1.0,1.0,1.0
3,pain,0.8333333333333334,1.0,0.9090909090909091,0.9454545454545454
3,fever,1.0,1.0,1.0,1.0
3,cough,1.0,1.0,1.0,1.0
3,confusion,1.0,0.75,0.8571428571428571,0.9375
3,seizure,1.0,1.0,1.0,1.0
4,pain,0.7142857142857143,1.0,0.8333333333333334,0.9636363636363636
4,fever,1.0,1.0,1.0,1.0
4,cough,1.0,0.6666666666666666,0.8,1.0
4,confusion,1.0,0.75,0.8571428571428571,0.9166666666666667
4,seizure,1.0,1.0,1.0,1.0
5,pain,0.8333333333333334,1.0,0.9090909090909091,0.9272727272727272
5,fever,1.0,1.0,1.0,1.0
5,cough,1.0,1.0,1.0,1.0
5,confusion,1.0,0.75,0.8571428571428571,0.7916666666666666
5,seizure,1.0,1.0,1.0,1.0
