Epoch,Symptom,Precision,Recall,F1,AUROC
1,pain,0.0,0.0,0.0,0.7818181818181819
1,fever,0.3333333333333333,0.5,0.4,0.9285714285714286
1,cough,0.5,0.6666666666666666,0.5714285714285714,0.9487179487179487
1,confusion,0.5,0.25,0.3333333333333333,0.625
1,seizure,0.2857142857142857,1.0,0.4444444444444444,0.8928571428571428
2,pain,1.0,0.4,0.5714285714285714,0.9272727272727272
2,fever,0.5,1.0,0.6666666666666666,1.0
2,cough,0.6,1.0,0.75,1.0
2,confusion,1.0,0.75,0.8571428571428571,0.875
2,seizure,1.0,1.0,1.0,1.0
3,pain,1.0,0.4,0.5714285714285714,0.9272727272727272
3,fever,0.5,1.0,0.6666666666666666,1.0
3,cough,0.6,1.0,0.75,1.0
3,confusion,1.0,0.75,0.8571428571428571,0.875
3,seizure,1.0,1.0,1.0,1.0
4,pain,0.8,0.8,0.8,0.9454545454545454
4,fever,0.6666666666666666,1.0,0.8,1.0
4,cough,1.0,1.0,1.0,1.0
4,confusion,1.0,0.75,0.8571428571428571,0.875
4,seizure,1.0,1.0,1.0,1.0
5,pain,0.8,0.8,0.8,0.9454545454545454
5,fever,0.6666666666666666,1.0,0.8,1.0
5,cough,1.0,1.0,1.0,1.0
5,confusion,1.0,0.75,0.8571428571428571,0.875
5,seizure,1.0,1.0,1.0,1.0
